Sheet,Unnamed: 0,Unnamed: 1,Unnamed: 2,TIME,TOTAL HOURLY SALES,AVERAGE hourly sales ,Header,Month,Week-date,staff,student,tourism,MA(4) staff,MA(4) student,MA(4) others,Flavour,identity,Revenue,Date,1 Toppings ,Apricot ,Banana Caramel ,Chai Tea ,Cherry Almond Fudge ,Chocolate ,Coffee  ,Cus. IC Sand ,Ginger ,Green Tea ,Hazelnut ,IceCream Sand ,Lime Coconut ,Mango ,Mint Choco  ,Pina Colada ,Piachio ,Pure Coco . ,Red Bean ,S. Caramel ,Strawberry ,3 Toppings  ,Vanilla Bean ,Waffle Cone ,YY Seasame ,Sales,Product,S. Caramel,Mango,Chocolate,Pure Coconut,Mint Choco,Strawberry,Coffee ,Banana ,Ice Cream Sand ,Cherry Almond ,Pistachio ,1 Topping ,Cus IC Sand ,3 Topping ,Pure Coco .,Waffle Cone,Green Tea,Hazelnut,Vanilla Bean,Chai Tea,Pina Colada,Banana Caramel,Coffee,Cherry Almond,YY Seasame,Lime Coconut,Chocoate Cookies,Ice Cream SAND,Red Bean,Ginger,Miscellenous,Granola,Apricot,1 Topping,3 Topping,Week,Pure Coconut ,Mint Choco 
Key for the Data Interpreter,,Key for Understanding the Data Interpreter Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,Use the key to understand how your data source has been interpreted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,"To view the results, click a worksheet tab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,Note: Tableau never makes changes to your underlying data source. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,Data is interpreted as column headers (field names).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,Data is interpreted as values in your data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,Data derived from an Excel merged cell is interpreted as value in your data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,Data is ignored and not included as part of your data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,Data has been excluded from your data source. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,"Note: To search for all excluded data, use CRTL +F on Windows ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,"    or Command F on the Mac, and then type '***DATA REMOVED***'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,"If the Data Interpreter has interpreted the Tableau data source incorrectly, close the spreadsheet, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,   and then clear the Cleaned with Data Interpreter check box from the Data Source page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,If the Tableau data source continues to be interpreted incorrectly or for general information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,"   about why some data was removed by the Data Interpreter, refer to ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,Resolving Common Issues with Data Interpreter Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,Help Tableau improve the Data Interpreter by emailing your file to support@tableau.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,   or filing a support request with an attached file at:   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key for the Data Interpreter,,,http://tableau.com/support/request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
